cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
2-Methyl-2-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon,340.45
4-Penten-2-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,389.15
N-Methylisobutylamine,87.16,12,6,1,5,1,0,1,0,0,Amine,341.65
"2,4-Dimethyl-2-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,356.45
"2,4-Pentanediol",104.15,40.5,7,2,5,0,2,2,0,0,Alcohol,491.15
DI-Sec-butylamine,129.24,12,9,1,8,1,0,2,0,0,Amine,408.15
4-Methyl-1-pentanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol,424.15
2-Hexanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol,409.15
1-Pentyne,68.12,0,5,0,5,0,0,0,0,1,Hydrocarbon,313.05
2-Pentyne,68.12,0,5,0,5,0,0,0,0,1,Hydrocarbon,329.15
N-Methylpropylamine,73.14,12,5,1,4,1,0,0,0,0,Amine,336.15
"2,5-Dimethyl-1,5-hexadiene",110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon,387.15
5-Methyl-2-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,424.15
2-Methyl-2-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon,395.15
5-Methyl-1-hexanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,443.15
1-Heptyne,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon,372.95
2-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol,466.65
1-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon,399.35
"Hexane-1,6-diol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol,481.15
"1,7-Heptanediol",132.2,40.5,9,2,7,0,2,1,0,0,Alcohol,535.15
Tridecane,184.36,0,13,0,13,0,0,0,0,0,Hydrocarbon,508.55
Tetradecane,198.39,0,14,0,14,0,0,0,0,0,Hydrocarbon,526.65
Pentadecane,212.41,0,15,0,15,0,0,0,0,0,Hydrocarbon,543.75
1-Hexadecene,224.42,0,16,0,16,0,0,0,1,0,Hydrocarbon,558.15
1-Hexadecyne,222.41,0,16,0,16,0,0,0,0,1,Hydrocarbon,557.15
1-Pentadecanol,228.41,20.2,16,1,15,0,1,0,0,0,Alcohol,591.15
