cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
N-Methylpropylamine,73.14,12,5,1,4,1,0,0,0,0,Amine
"2,5-Dimethyl-1,5-hexadiene",110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon
5-Methyl-2-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
2-Methyl-2-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
5-Methyl-1-hexanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
1-Heptyne,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon
2-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
1-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
"Hexane-1,6-diol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol
"1,7-Heptanediol",132.2,40.5,9,2,7,0,2,1,0,0,Alcohol
Tridecane,184.36,0,13,0,13,0,0,0,0,0,Hydrocarbon
Tetradecane,198.39,0,14,0,14,0,0,0,0,0,Hydrocarbon
Pentadecane,212.41,0,15,0,15,0,0,0,0,0,Hydrocarbon
1-Hexadecene,224.42,0,16,0,16,0,0,0,1,0,Hydrocarbon
1-Hexadecyne,222.41,0,16,0,16,0,0,0,0,1,Hydrocarbon
1-Pentadecanol,228.41,20.2,16,1,15,0,1,0,0,0,Alcohol
Heptadecane,240.5,0,17,0,17,0,0,0,0,0,Hydrocarbon
Nonadecane,268.5,0,19,0,19,0,0,0,0,0,Hydrocarbon
Heneicosane,296.6,0,21,0,21,0,0,0,0,0,Hydrocarbon
1-Eicosanol,298.5,20.2,21,1,20,0,1,0,0,0,Alcohol
Docosane,310.6,0,22,0,22,0,0,0,0,0,Hydrocarbon
Pentacosane,352.7,0,25,0,25,0,0,0,0,0,Hydrocarbon
Hexacosane,366.7,0,26,0,26,0,0,0,0,0,Hydrocarbon
Octacosane,394.8,0,28,0,28,0,0,0,0,0,Hydrocarbon
Nonacosane,408.8,0,29,0,29,0,0,0,0,0,Hydrocarbon
Hentriacontane,436.8,0,31,0,31,0,0,0,0,0,Hydrocarbon
Tritriacontane,464.9,0,33,0,33,0,0,0,0,0,Hydrocarbon
Hexatriacontane,507,0,36,0,36,0,0,0,0,0,Hydrocarbon
Pentatriacontane,492.9,0,35,0,35,0,0,0,0,0,Hydrocarbon
Phytane,282.5,0,20,0,20,0,0,4,0,0,Hydrocarbon
Tricosane,324.6,0,23,0,23,0,0,0,0,0,Hydrocarbon
Triacontane,422.8,0,30,0,30,0,0,0,0,0,Hydrocarbon
2-Pentene,70.13,0,5,0,5,0,0,0,1,0,Hydrocarbon
Tetracosane,338.7,0,24,0,24,0,0,0,0,0,Hydrocarbon
Docosanol,326.6,20.2,23,1,22,0,1,0,0,0,Alcohol
4-Methyl-2-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"2-Methyl-1,3-butanediol",104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
"4,4-Dimethylpent-2-ene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
4-Methyl-1-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
1-Hexyne,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon
3-Methyl-1-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
2-Ethyl-1-butene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"4,4-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
2-Methyl-1-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon
"2-Methyl-1,4-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
